"method","type","param","cluster","dim.x","mean","sd","lower","upper","width","dim.y","true","bias","rmse"
"connectivity_only","sigma","sigma[1,1]",1,1,1.21564436907016,0.326737471810825,0.537352339179728,1.84453008886881,1.30717774968908,3,1,0.215644369070163,0.391484187927173
"connectivity_only","sigma","sigma[1,1]",1,1,1.21564436907016,0.326737471810825,0.537352339179728,1.84453008886881,1.30717774968908,4,1,0.215644369070163,0.391484187927173
"connectivity_only","sigma","sigma[1,2]",1,2,0.883609071190549,0.298059033822193,0.434908072348787,1.54399764908557,1.10908957673678,1,1,-0.116390928809451,0.319978180431332
"connectivity_only","sigma","sigma[1,2]",1,2,0.883609071190549,0.298059033822193,0.434908072348787,1.54399764908557,1.10908957673678,2,1,-0.116390928809451,0.319978180431332
"connectivity_only","sigma","sigma[1,2]",1,2,0.883609071190549,0.298059033822193,0.434908072348787,1.54399764908557,1.10908957673678,3,1,-0.116390928809451,0.319978180431332
"connectivity_only","sigma","sigma[1,2]",1,2,0.883609071190549,0.298059033822193,0.434908072348787,1.54399764908557,1.10908957673678,4,1,-0.116390928809451,0.319978180431332
"connectivity_only","sigma","sigma[1,3]",1,3,0.89687262650633,0.233882372572009,0.398944989803682,1.3585129499148,0.95956796011112,1,1,-0.10312737349367,0.255609505620615
"connectivity_only","sigma","sigma[1,3]",1,3,0.89687262650633,0.233882372572009,0.398944989803682,1.3585129499148,0.95956796011112,2,1,-0.10312737349367,0.255609505620615
"connectivity_only","sigma","sigma[1,3]",1,3,0.89687262650633,0.233882372572009,0.398944989803682,1.3585129499148,0.95956796011112,3,1,-0.10312737349367,0.255609505620615
"connectivity_only","sigma","sigma[1,3]",1,3,0.89687262650633,0.233882372572009,0.398944989803682,1.3585129499148,0.95956796011112,4,1,-0.10312737349367,0.255609505620615
"connectivity_only","sigma","sigma[1,4]",1,4,1.23244838078787,0.310755685136262,0.86436683866019,1.88125324439933,1.01688640573914,1,1,0.23244838078787,0.388073891901285
