Bird.ID,Breeding.site.latitude,Breeding.site.longitude,Wintering.site.1.latitude,Wintering.site.1.longitude
293,FR_375,NA,NA,48.295307,-4.210643
294,FR_376,44.90055,-0.91385,38.46145,-8.74205
295,FR_378,44.97095,2.96095,38.69185,-8.99195
296,FR_379a,48.23455,0.67685,NA,NA
297,FR_379b,47.58775,5.85795,38.47495,-8.72505
298,FR_380,NA,NA,46.27725,-1.12055
299,FR_381,48.38655,-3.93925,47.00355,-2.03435
300,FR_382,48.40795,-3.86685,38.42915,-8.79005
301,FR_774,46.43585,4.89555,27.95955,-12.32485
302,FR_776,46.39445,5.12585,NA,NA
303,FR_777,46.44785,4.92005,37.17105,-6.92505
304,FR_240,NA,NA,45.893471,-1.082432
305,FR_241,NA,NA,45.893471,-1.082432
306,FR_243,NA,NA,45.893471,-1.082432
307,FR_244,NA,NA,45.893471,-1.082432
308,FR_245,NA,NA,45.893471,-1.082432
309,FR_1249,NA,NA,45.893471,-1.082432
310,FR_252,NA,NA,45.893471,-1.082432
311,FR_253,NA,NA,45.893471,-1.082432
312,FR_254,NA,NA,45.893471,-1.082432
313,DE_621,49.186566,10.609783,36.969283,-7.882566
314,DE_341,48.676599,12.569599,36.821167,-6.342183
315,DE_577,48.666799,12.512383,32.978683,-8.749983
316,DE_789,48.360616,11.7636,40.715433,-8.662566
317,DE_792,48.673682,12.549299,38.500283,-8.758416
318,DE_822,NA,NA,32.978683,-8.749983
319,DE_922,48.629149,12.291683,32.75105,-9.018066
320,PO_16E,NA,NA,49.719485,-1.9318
321,PO_289,53.52776,23.04524,38.4253217,-8.74835
322,PO_29E,53.51714,23.06801,51.2029867,3.39925
323,PO_533,NA,NA,53.4237083,10.27155
324,PO_36E,53.55389,23.06398,37.079775,-7.7011667
325,PO_59E,53.57993,22.95786,50.7224833,-1.3922667
326,PO_7B3,53.450475,21.6412833,38.6646333,-9.0185
327,PO_7DE,58.8043267,23.5199,50.75957,-0.8222167
328,PO_939,NA,NA,40.799425,-8.7011
329,PO_94E,NA,NA,49.383925,-1.1639833
330,PO_020,53.13055,22.43664,51.7666217,0.8477
331,PO_BA9,NA,NA,49.3443,-0.54055
332,PO_BD9,53.34758,21.79415,49.1960433,-2.2262667
333,PO_001,52.65385,22.105383,37.2345917,-7.1639333
334,PO_D69,53.57764,23.05814,48.8455467,-3.0778333
335,PO_DC9,53.12122,22.3585,45.401515,12.2115
336,DE_U01,57.836716,31.169032,54.670766,8.75075
337,DE_U03,58.75678333,34.65745,54.60736667,8.831133333
338,DE_U04,NA,NA,54.613466,8.832533
339,DE_U05,62.709817,36.726367,54.61381667,8.8356
340,RU_U05,51.47245,50.02355,34.369032,10.262966
341,DE_U06,64.044117,40.942883,54.61145,8.835583
342,DE_U11,59.378216,40.383166,54.134133,8.887949
343,DE_U12,64.747733,45.471766,54.052516,8.997349
344,DE_U13,63.049783,37.145817,56.716433,10.268983
345,DE_U14,60.263483,41.110783,54.02485,8.962333
346,DE_U15,NA,NA,54.039233,8.948649
347,RU_U19,56.97805,40.88525,45.551766,12.520699
348,DE_U20,62.849617,34.219783,54.043,8.8585
349,DE_U21,62.2331,39.871633,54.039867,8.863517
350,DE_U22,62.328383,39.929033,54.04345,8.867867
351,DE_U23,62.782167,56.446049,54.083649,8.843683
352,PO_EB9,NA,NA,55.9168183,8.3831833
353,PO_F79,NA,NA,45.533425,-1.0485667
354,FR_B01,59.74945,39.85905,46.226917,-1.506667
355,ES_Fersen,58.49206667,25.61001667,53.94406667,8.208275
356,FR_U04,64.57425,40.64595,46.230835,-1.502419
357,FR_U07,59.41845,53.92245,46.226517,-1.497017
358,FR_U11,60.51835,36.7865,46.225617,-1.466867
359,FR_U12,57.3744,43.8902,46.226017,-1.495583
360,PO_I01,52.009383,27.279216,44.647133,-1.039499
361,PO_I02,53.382049,21.766277,53.417849,5.488333
362,FR_M21,60.75105,47.4124,46.230717,-1.496617
363,FR_M22,55.45995,34.48725,46.23095,-1.502317
364,FR_M24,61.91205,26.4225,46.23095,-1.502317
365,FR_M25,52.7446,28.19445,46.2273,-1.49645
366,FR_M29,61.7962,45.76535,46.230433,-1.499817
367,FR_I05,62.4561,56.754583,45.894534,-1.082713
368,FR_I10,53.179767,21.254017,45.894534,-1.082713
369,FR_Z01,54.29335,32.09385,45.8926,-1.085133
370,FR_Z02,54.24955,9.43625,45.894217,-1.084267
371,FR_Z04,NA,NA,45.891583,-1.084167
372,FR_Z06,64.59245,40.24525,45.891517,-1.08415
373,FR_Z07,52.74225,28.17645,45.890733,-1.084983
374,FR_Z08,NA,NA,45.894534,-1.082713
375,FR_Z10,59.45795,44.12445,45.890483,-1.085667
376,FR_Z13,NA,NA,45.965667,-1.233967
377,FR_Z14,NA,NA,45.894534,-1.082713
378,FR_I02,63.49925,40.63515,46.230835,-1.502419
